ID,usd_goal_real,diff_days,deadline_year,deadline_month,deadline_day,deadline_weekday,launched_year,launched_month,launched_day,launched_weekday,launched_hour,country_recoded,main_category_recoded,subcategory_recoded,name_length,recoded_target
669833143,20000.0,30,2012,7,26,3,2012,6,26,1,0,22,8,148,39.0,0
1663610325,2400.0,30,2013,12,17,1,2013,11,17,6,9,22,5,52,57.0,1
4506510,300.0,10,2014,8,16,5,2014,8,6,2,23,22,5,2,31.0,0
202461547,65376.57,60,2017,10,6,4,2017,8,7,0,8,9,2,33,27.0,0
1504336402,50000.0,30,2016,8,5,4,2016,7,6,2,16,22,6,126,29.0,0
1976457147,7500.0,30,2016,3,11,4,2016,2,10,2,2,22,10,72,40.0,1
2128109051,6000.0,45,2015,7,5,6,2015,5,21,3,7,22,3,134,25.0,1
545896029,5500.0,30,2013,8,18,6,2013,7,19,4,9,22,12,54,13.0,0
1194622995,28500.0,30,2013,3,21,3,2013,2,19,1,23,22,2,32,39.0,1
744141809,200.0,30,2015,4,3,4,2015,3,4,2,3,22,6,69,20.0,0
763281552,2615.06,30,2017,10,5,3,2017,9,5,1,22,9,6,129,18.0,0
1334084038,500000.0,30,2014,8,25,0,2014,7,26,5,0,22,8,62,22.0,0
1811810372,5000.0,27,2013,8,26,0,2013,7,30,1,22,22,6,93,13.0,1
574699062,3500.0,30,2012,9,1,5,2012,8,2,3,22,22,6,153,55.0,0
1785401346,20000.0,21,2016,6,21,1,2016,5,31,1,1,22,13,8,41.0,0
969561928,1400.0,55,2011,9,1,3,2011,7,8,4,14,22,0,10,46.0,1
771391578,3000.0,47,2013,8,1,3,2013,6,15,5,19,22,10,75,57.0,1
924935507,13300.0,30,2014,11,10,0,2014,10,11,5,1,22,6,55,60.0,0
459929135,100000.0,24,2012,8,20,0,2012,7,27,4,13,22,4,113,60.0,1
1205993668,2500.0,45,2014,8,10,6,2014,6,26,3,23,22,10,72,31.0,0
448099641,2000.0,30,2015,9,7,0,2015,8,8,5,1,22,8,148,6.0,0
307383560,40000.0,22,2016,12,23,4,2016,12,1,3,14,22,7,130,47.0,0
915167919,1050573.44,7,2015,4,4,5,2015,3,28,5,3,9,6,40,32.0,0
275457967,30000.0,58,2015,3,12,3,2015,1,13,1,17,22,13,151,43.0,0
1678170257,66979.24,27,2014,11,29,5,2014,11,2,6,8,1,13,61,51.0,0
1181056785,25000.0,30,2012,3,22,3,2012,2,21,1,9,22,4,113,46.0,0
1814781501,1000.0,30,2013,11,7,3,2013,10,8,1,3,22,1,26,39.0,1
425275732,6500.0,45,2017,12,30,5,2017,11,15,2,20,22,4,37,54.0,0
673743476,7787.92,60,2015,7,28,1,2015,5,29,4,17,9,7,130,33.0,0
1985988567,20622.81,45,2017,1,20,4,2016,12,6,1,17,10,13,138,36.0,1
992915173,6000.0,49,2014,3,12,2,2014,1,22,2,21,22,8,148,26.0,0
267388646,10000.0,60,2014,11,23,6,2014,9,24,2,14,22,6,39,18.0,0
1476307240,4000.0,30,2011,11,18,4,2011,10,19,2,21,22,6,39,19.0,1
2141042243,31067.0,45,2015,5,14,3,2015,3,30,0,9,22,6,39,14.0,0
2145676774,3904.46,30,2015,7,24,4,2015,6,24,2,8,19,12,19,60.0,1
